UnitID,US FR,YR,SUM,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY, Unknown_state , Foreign 
100937,242,2021,244,149,0,0,2,0,2,1,0,0,10,32,0,0,2,0,0,0,1,4,0,0,0,0,0,3,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,25,5,0,0,1,0,0,0,0,0,2
101189,215,2021,215,183,1,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,1,0,0,3,1,0,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101365,102,2020,102,91,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101435,250,2021,250,173,0,1,0,0,0,0,0,0,32,26,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,3,2,0,0,2,0,0,0,0,0,0
101453,3,2021,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101541,72,2020,72,61,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
101675,399,2020,399,250,0,1,0,20,0,0,0,0,16,53,0,0,6,0,0,0,1,10,0,0,0,8,0,4,2,0,0,1,0,1,0,1,1,0,5,0,1,0,0,0,0,8,3,0,0,1,0,0,6,0,0,0
101693,233,2020,247,183,0,0,2,0,1,0,0,1,16,6,0,0,0,0,0,1,0,8,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,14
101912,265,2021,283,32,0,3,0,21,4,3,1,1,27,15,0,1,0,3,0,3,4,0,2,30,7,16,1,1,9,0,0,0,0,6,0,18,4,0,8,2,0,8,0,1,0,12,19,0,0,2,1,0,0,0,0,18
102049,911,2021,919,246,0,2,5,13,5,4,0,0,64,197,1,0,6,10,1,2,19,20,0,1,0,3,5,18,6,0,1,0,0,3,1,1,27,1,5,1,0,2,0,21,1,142,68,0,0,8,0,0,0,1,1,7
102234,197,2021,216,82,1,0,0,2,0,0,0,0,14,6,0,0,19,0,1,0,3,41,0,0,1,0,0,5,8,0,0,1,0,1,0,3,0,0,2,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,19
102270,122,2020,122,96,0,0,0,1,0,0,0,0,4,2,0,0,3,0,1,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
